식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
4419,449117,한끼김밥,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/449117_1878383319.jpg,폐업
4420,449117,한끼김밥,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/449117_1537137938.jpg,폐업
4421,449147,배달삼겹돼지되지 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/449147_1296485973.jpg,미확인
4422,449147,배달삼겹돼지되지 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/449147_1028944304.jpg,미확인
4442,451242,포제이 당산역2호점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/451242_2020304296.jpg,폐업
4443,451242,포제이 당산역2호점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/451242_1827467935.jpg,폐업
4444,451390,오가다 롯데마트양평점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/451390_2028028607.jpg,폐업
4445,451390,오가다 롯데마트양평점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/451390_518318483.jpg,폐업
4466,454961,탐나종합어시장 당산역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/454961_1161571305.jpg,운영중
4531,457485,카페7번가,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/457485_127054988.jpg,미확인
4532,457485,카페7번가,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/457485_683907368.jpg,미확인
4563,457786,치킨뱅이 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/457786_1566260606.jpg,폐업
4564,457786,치킨뱅이 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/457786_2097928266.jpg,폐업
4679,458219,라메르,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/458219_503848804.jpg,폐업
4680,458219,라메르,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/458219_1774482729.jpg,폐업
4704,458228,소공동뚝배기집여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/458228_2140141089.jpg,운영중
4705,458228,소공동뚝배기집여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/458228_2034051845.jpg,운영중
4707,458256,고은설디저트스튜디오,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/458256_1183166630.jpg,미확인
4708,458256,고은설디저트스튜디오,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/458256_997903013.jpg,미확인
4752,458802,애슐리W 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/458802_9060818.jpg,폐업
4753,458802,애슐리W 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/458802_1866919078.jpg,폐업
4827,460416,털보네참숯꼼장어,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/460416_746938586.jpg,미확인
4828,460416,털보네참숯꼼장어,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/460416_1186355064.jpg,미확인
4873,461508,중앙식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/461508_143292639.jpg,폐업
4878,461682,강경식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/461682_1813778497.jpg,운영중
4879,461682,강경식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/461682_645621376.jpg,운영중
4884,461712,뚱이네포장마차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/461712_868199959.jpg,미확인
4885,461712,뚱이네포장마차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/461712_357211647.jpg,미확인
4896,462331,갈비가,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/462331_868150393.jpg,미확인
4897,462331,갈비가,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/462331_408802415.jpg,미확인
4899,462351,닭한마리대림점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/462351_891374159.jpg,미확인
4900,462351,닭한마리대림점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/462351_1583645537.jpg,미확인
5013,468842,비플러스,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/468842_180333911.jpg,미확인
5014,468842,비플러스,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/468842_2053090994.jpg,미확인
5026,469910,Cafe36.5도,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/469910_737174659.jpg,운영중
